Date/Time,PLENUM:Zone Air Temperature [C](TimeStep),SOUTH PERIMETER:Zone Air Temperature [C](TimeStep),EAST PERIMETER:Zone Air Temperature [C](TimeStep),NORTH PERIMETER:Zone Air Temperature [C](TimeStep),WEST PERIMETER:Zone Air Temperature [C](TimeStep),CORE:Zone Air Temperature [C](TimeStep) 
 01/21  00:15:00,9.02645399411151,15.548053760431295,15.399589149171888,15.529358516698304,15.399589149171878,17.369872990518528 
 01/21  00:30:00,9.02645399322564,15.548053760234544,15.399589148969865,15.529358516500551,15.399589148969858,17.3698729903184 
 01/21  00:45:00,9.026453992367925,15.548053760044022,15.399589148774279,15.52935851630911,15.399589148774272,17.369872990124635 
 01/21  01:00:00,9.02645399153747,15.548053759859548,15.399589148584902,15.529358516123738,15.399589148584897,17.36987298993703 
 01/21  01:15:00,9.026453990733407,15.548053759680922,15.399589148401518,15.529358515944278,15.399589148401514,17.369872989755384 
 01/21  01:30:00,9.026453989954897,15.548053759508003,15.399589148223992,15.52935851577053,15.399589148223987,17.369872989579514 
 01/21  01:45:00,9.026453989201134,15.548053759340581,15.399589148052077,15.52935851560232,15.399589148052078,17.36987298940923 
 01/21  02:00:00,9.026453988471325,15.548053759178446,15.399589147885644,15.529358515439452,15.399589147885646,17.36987298924436 
 01/21  02:15:00,9.026453987764715,15.548053759021471,15.399589147724507,15.529358515281738,15.399589147724507,17.369872989084734 
 01/21  02:30:00,9.026453987080558,15.548053758869495,15.399589147568486,15.529358515129024,15.399589147568486,17.369872988930174 
 01/21  02:45:00,9.026453986418146,15.548053758722374,15.399589147417409,15.529358514981153,15.39958914741741,17.369872988780526 
 01/21  03:00:00,9.026453985776789,15.548053758579919,15.39958914727112,15.529358514838015,15.399589147271126,17.369872988635636 
 01/21  03:15:00,9.026453985155813,15.548053758441986,15.399589147129515,15.529358514699395,15.399589147129526,17.369872988495357 
 01/21  03:30:00,9.02645398455457,15.548053758308463,15.399589146992428,15.52935851456521,15.399589146992442,17.369872988359533 
 01/21  03:45:00,9.02645398397244,15.548053758179182,15.399589146859679,15.529358514435318,15.399589146859693,17.36987298822802 
 01/21  04:00:00,9.026453983408814,15.548053758053973,15.399589146731119,15.529358514309529,15.399589146731137,17.369872988100693 
 01/21  04:15:00,9.026453982863098,15.548053757932756,15.399589146606682,15.529358514187737,15.399589146606696,17.36987298797741 
 01/21  04:30:00,9.026453982334724,15.54805375781541,15.399589146486214,15.529358514069818,15.399589146486204,17.369872987858046 
 01/21  04:45:00,9.026453981823146,15.548053757701794,15.399589146369547,15.52935851395564,15.399589146369543,17.36987298774248 
 01/21  05:00:00,9.026453981327828,15.548053757591769,15.399589146256592,15.52935851384506,15.39958914625657,17.369872987630587 
 01/21  05:15:00,9.026453980848255,15.548053757485249,15.399589146147204,15.529358513737983,15.399589146147165,17.36987298752225 
 01/21  05:30:00,9.026453980383915,15.548053757382112,15.399589146041299,15.529358513634346,15.399589146041264,17.369872987417354 
 01/21  05:45:00,9.026453979934337,15.548053757282249,15.399589145938789,15.529358513533995,15.39958914593876,17.369872987315789 
 01/21  06:00:00,9.026453979499046,15.548053757185566,15.399589145839514,15.529358513436842,15.399589145839484,17.369872987217449 
 01/21  06:15:00,9.026453979077595,15.548053757091992,15.399589145743385,15.529358513342759,15.399589145743378,17.36987298712224 
 01/21  06:30:00,9.026453978669533,15.548053757001386,15.399589145650316,15.529358513251678,15.399589145650309,17.369872987030058 
 01/21  06:45:00,9.026453978274445,15.548053756913623,15.399589145560223,15.529358513163473,15.399589145560212,17.369872986940803 
