Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly) 
 12/21  01:00:00,-15.5,-18.21135382055015 
 12/21  02:00:00,-15.5,-18.211435040051027 
 12/21  03:00:00,-15.5,-18.21151497672882 
 12/21  04:00:00,-15.5,-18.211593650816626 
 12/21  05:00:00,-15.5,-18.211671082229399 
 12/21  06:00:00,-15.5,-18.211747290569023 
 12/21  07:00:00,-15.5,-18.21182229512907 
 12/21  08:00:00,-15.5,-18.211896114899724 
 12/21  09:00:00,-15.5,-18.21196876857245 
 12/21  10:00:00,-15.5,-18.212040274544689 
 12/21  11:00:00,-15.5,-18.21211065092444 
 12/21  12:00:00,-15.5,-18.212179915534788 
 12/21  13:00:00,-15.5,-18.21224808591835 
 12/21  14:00:00,-15.5,-18.21231517934165 
 12/21  15:00:00,-15.5,-18.212381212799476 
 12/21  16:00:00,-15.5,-18.2124462030191 
 12/21  17:00:00,-15.5,-18.212510166464456 
 12/21  18:00:00,-15.5,-18.212573119340303 
 12/21  19:00:00,-15.5,-18.212635077596226 
 12/21  20:00:00,-15.5,-18.212696056930669 
 12/21  21:00:00,-15.5,-18.21275607279486 
 12/21  22:00:00,-15.5,-18.21281514039671 
 12/21  23:00:00,-15.5,-18.21287327470455 
 12/21  24:00:00,-15.5,-18.212930490450967 
 07/21  01:00:00,18.966,29.07860753164146 
 07/21  02:00:00,18.244,28.792642010485435 
 07/21  03:00:00,17.731,28.51480031501084 
 07/21  04:00:00,17.275000000000003,28.23972396321397 
 07/21  05:00:00,16.913999999999999,27.965695005605914 
 07/21  06:00:00,16.990000000000003,27.869083500476529 
 07/21  07:00:00,17.769,28.19646835499543 
 07/21  08:00:00,19.783,28.553245131123345 
 07/21  09:00:00,22.557,29.00874210641801 
 07/21  10:00:00,25.255000000000004,29.511977593628655 
 07/21  11:00:00,27.649,29.96118794179614 
 07/21  12:00:00,29.454,30.322886479309515 
 07/21  13:00:00,30.784,30.645376401900248 
 07/21  14:00:00,31.715,31.06913382818133 
 07/21  15:00:00,32.0,31.432702988747765 
 07/21  16:00:00,31.43,31.64572007587233 
 07/21  17:00:00,30.328,31.698018827923808 
 07/21  18:00:00,28.922,31.625257568740609 
 07/21  19:00:00,26.927,31.213699276999394 
 07/21  20:00:00,25.027,30.522147613665465 
 07/21  21:00:00,23.544999999999999,30.185397702613707 
 07/21  22:00:00,22.177,29.9184319618217 
 07/21  23:00:00,20.999000000000004,29.644778596241765 
